2020-01-01,AC,
2020-01-02,AC,
2020-01-03,AC,
2020-01-04,AC,
2020-01-05,AC,
2020-01-06,AC,
2020-01-07,AC,
2020-01-08,AC,
2020-01-09,AC,
2020-01-10,AC,
2020-01-11,AC,
2020-01-12,AC,
2020-01-13,AC,
2020-01-14,AC,
2020-01-15,AC,
2020-01-16,AC,
2020-01-17,AC,
2020-01-18,AC,
2020-01-19,AC,
2020-01-20,AC,
2020-01-21,AC,
2020-01-22,AC,
2020-01-23,AC,
2020-01-24,AC,
2020-01-25,AC,
2020-01-26,AC,
2020-01-27,AC,
2020-01-28,AC,
2020-01-29,AC,
2020-01-30,AC,
2020-01-31,AC,
2020-02-01,AC,
2020-02-02,AC,
2020-02-03,AC,
2020-02-04,AC,
2020-02-05,AC,
2020-02-06,AC,
2020-02-07,AC,
2020-02-08,AC,
2020-02-09,AC,
2020-02-10,AC,
2020-02-11,AC,
2020-02-12,AC,
2020-02-13,AC,
2020-02-14,AC,
2020-02-15,AC,
2020-02-16,AC,
2020-02-17,AC,
2020-02-18,AC,
2020-02-19,AC,
2020-02-20,AC,
2020-02-21,AC,
2020-02-22,AC,
2020-02-23,AC,
2020-02-24,AC,
2020-02-25,AC,
2020-02-26,AC,
2020-02-27,AC,
2020-02-28,AC,
2020-02-29,AC,
2020-03-01,AC,
2020-03-02,AC,
2020-03-03,AC,
2020-03-04,AC,1
2020-03-05,AC,
2020-03-06,AC,
2020-03-07,AC,
2020-03-08,AC,
2020-03-09,AC,
2020-03-10,AC,
2020-03-11,AC,
2020-03-12,AC,
2020-03-13,AC,
2020-03-14,AC,
2020-03-15,AC,
2020-03-16,AC,
2020-03-17,AC,
2020-03-18,AC,
2020-03-19,AC,
2020-03-20,AC,
2020-03-21,AC,
2020-03-22,AC,
2020-03-23,AC,
2020-03-24,AC,
2020-03-25,AC,
2020-03-26,AC,
2020-03-27,AC,
2020-03-28,AC,
2020-03-29,AC,
2020-03-30,AC,
2020-03-31,AC,
2020-04-01,AC,
2020-04-02,AC,
2020-04-03,AC,
2020-04-04,AC,
2020-04-05,AC,
2020-04-06,AC,1
2020-04-07,AC,1
2020-04-08,AC,
2020-04-09,AC,
2020-04-10,AC,
2020-04-11,AC,
2020-04-12,AC,
2020-04-13,AC,
2020-04-14,AC,
2020-04-15,AC,1
2020-04-16,AC,
2020-04-17,AC,
2020-04-18,AC,1
2020-04-19,AC,1
2020-04-20,AC,1
2020-04-21,AC,1
2020-04-22,AC,2
2020-04-23,AC,
2020-04-24,AC,1
2020-04-25,AC,
2020-04-26,AC,2
2020-04-27,AC,4
2020-04-28,AC,3
2020-04-29,AC,2
2020-04-30,AC,1
2020-05-01,AC,1
2020-05-02,AC,3
2020-05-03,AC,2
2020-05-04,AC,1
2020-05-05,AC,5
2020-05-06,AC,3
2020-05-07,AC,2
2020-05-08,AC,1
2020-05-09,AC,3
2020-05-10,AC,4
2020-05-11,AC,5
2020-05-12,AC,2
2020-05-13,AC,1
2020-05-14,AC,4
2020-05-15,AC,2
2020-05-16,AC,2
2020-05-17,AC,7
2020-05-18,AC,4
2020-05-19,AC,4
2020-05-20,AC,4
2020-05-21,AC,5
2020-05-22,AC,2
2020-05-23,AC,9
2020-05-24,AC,1
2020-05-25,AC,7
2020-05-26,AC,6
2020-05-27,AC,7
2020-05-28,AC,10
2020-05-29,AC,4
2020-05-30,AC,5
2020-05-31,AC,5
2020-06-01,AC,8
2020-06-02,AC,8
2020-06-03,AC,13
2020-06-04,AC,6
2020-06-05,AC,7
2020-06-06,AC,11
2020-06-07,AC,6
2020-06-08,AC,9
2020-06-09,AC,10
2020-06-10,AC,9
2020-06-11,AC,6
2020-06-12,AC,8
2020-06-13,AC,7
2020-06-14,AC,3
2020-06-15,AC,7
2020-06-16,AC,6
2020-06-17,AC,9
2020-06-18,AC,7
2020-06-19,AC,6
2020-06-20,AC,12
2020-06-21,AC,3
2020-06-22,AC,5
2020-06-23,AC,8
2020-06-24,AC,4
2020-06-25,AC,8
2020-06-26,AC,9
2020-06-27,AC,6
2020-06-28,AC,4
2020-06-29,AC,4
2020-06-30,AC,5
2020-07-01,AC,7
2020-07-02,AC,9
2020-07-03,AC,3
2020-07-04,AC,5
2020-07-05,AC,4
2020-07-06,AC,6
2020-07-07,AC,3
2020-07-08,AC,7
2020-07-09,AC,7
2020-07-10,AC,2
2020-07-11,AC,6
2020-07-12,AC,4
2020-07-13,AC,5
2020-07-14,AC,4
2020-07-15,AC,10
2020-07-16,AC,5
2020-07-17,AC,6
2020-07-18,AC,6
2020-07-19,AC,6
2020-07-20,AC,3
2020-07-21,AC,5
2020-07-22,AC,6
2020-07-23,AC,2
2020-07-24,AC,4
2020-07-25,AC,5
2020-07-26,AC,4
2020-07-27,AC,5
2020-07-28,AC,4
2020-07-29,AC,2
2020-07-30,AC,6
2020-07-31,AC,5
2020-08-01,AC,3
2020-08-02,AC,2
2020-08-03,AC,7
2020-08-04,AC,2
2020-08-05,AC,1
2020-08-06,AC,5
2020-08-07,AC,4
2020-08-08,AC,5
2020-08-09,AC,4
2020-08-10,AC,5
2020-08-11,AC,3
2020-08-12,AC,3
2020-08-13,AC,3
2020-08-14,AC,7
2020-08-15,AC,
2020-08-16,AC,5
2020-08-17,AC,4
2020-08-18,AC,2
2020-08-19,AC,6
2020-08-20,AC,
2020-08-21,AC,
2020-08-22,AC,4
2020-08-23,AC,3
2020-08-24,AC,1
2020-08-25,AC,1
2020-08-26,AC,
2020-08-27,AC,1
2020-08-28,AC,3
2020-08-29,AC,2
2020-08-30,AC,
2020-08-31,AC,1
2020-09-01,AC,2
2020-09-02,AC,2
2020-09-03,AC,1
2020-09-04,AC,1
2020-09-05,AC,
2020-09-06,AC,
2020-09-07,AC,1
2020-09-08,AC,2
2020-09-09,AC,2
2020-09-10,AC,1
2020-09-11,AC,
2020-09-12,AC,
2020-09-13,AC,
2020-09-14,AC,
2020-09-15,AC,
2020-09-16,AC,
2020-09-17,AC,
2020-09-18,AC,
2020-09-19,AC,
2020-09-20,AC,
2020-09-21,AC,
2020-09-22,AC,
2020-09-23,AC,
2020-09-24,AC,
2020-09-25,AC,
2020-09-26,AC,
2020-09-27,AC,
2020-09-28,AC,
2020-09-29,AC,
2020-09-30,AC,
2020-10-01,AC,
2020-10-02,AC,
